,total_value
2017-11-20,1394025.7310000001
2017-11-21,1401265.7310000001
2017-11-22,1409249.7310000001
2017-11-23,1377833.7310000001
2017-11-24,1378593.7310000001
2017-11-27,1365957.7310000001
2017-11-28,1360233.239
2017-11-29,1360233.239
2017-11-30,1360233.239
2017-12-01,1360233.239
2017-12-04,1360233.239
2017-12-05,1360233.239
2017-12-06,1360233.239
2017-12-07,1360233.239
2017-12-08,1360233.239
2017-12-11,1360233.239
2017-12-12,1360233.239
2017-12-13,1360233.239
2017-12-14,1360233.239
2017-12-15,1360233.239
2017-12-18,1360233.239
2017-12-19,1360233.239
2017-12-20,1360233.239
2017-12-21,1360233.239
2017-12-22,1360233.239
2017-12-25,1360233.239
2017-12-26,1360233.239
2017-12-27,1360233.239
2017-12-28,1360233.239
2017-12-29,1360233.239
2018-01-02,1360233.239
2018-01-03,1367442.1430000002
2018-01-04,1374082.1430000002
2018-01-05,1376498.1430000002
2018-01-08,1383590.1430000002
2018-01-09,1385358.1430000002
2018-01-10,1388530.1430000002
2018-01-11,1389934.1430000002
2018-01-12,1391374.1430000002
2018-01-15,1383994.1430000002
2018-01-16,1394434.1430000002
2018-01-17,1397666.1430000002
2018-01-18,1409698.1430000002
2018-01-19,1414942.1430000002
2018-01-22,1420342.1430000002
2018-01-23,1438398.1430000002
2018-01-24,1443586.1430000002
2018-01-25,1439122.1430000002
2018-01-26,1443050.1430000002
2018-01-29,1428998.1430000002
2018-01-30,1415002.1430000002
2018-01-31,1412130.1430000002
2018-02-01,1398590.1430000002
2018-02-02,1404630.1430000002
2018-02-05,1414798.1430000002
2018-02-06,1368058.1430000002
2018-02-07,1383529.0470000003
2018-02-08,1383529.0470000003
2018-02-09,1383529.0470000003
2018-02-12,1383529.0470000003
2018-02-13,1383529.0470000003
2018-02-14,1383529.0470000003
2018-02-22,1383529.0470000003
2018-02-23,1383529.0470000003
2018-02-26,1383529.0470000003
2018-02-27,1383529.0470000003
2018-02-28,1383529.0470000003
